web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,metros
1616348374-339,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-4.html,"Juriquilla, Cumbres del Lago, 3 Recs. 2.5 Baños, Alberca, V",14500,3 rec.,170 m²
1616348269-151,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,Renta Casa Juriquilla Qro,13300,3 rec.,200 m²
1616348314-211,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-9.html,Se Renta o Vende Casa en Juriquilla,28000,3 rec.,470 m²
1616348402-373,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-2.html,Casa en Renta en Santa Fe Juriquilla en Condominio,13000,3 rec.,199 m²
1616348402-391,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-2.html,Casa en Renta en Cumbres del Lago con Cuarto de Servicio,23000,4 rec.,314 m²
1616348269-136,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,"Casa en Renta en Juriquilla, D168",14500,3 rec.,200 m²
1616348191-25,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Casa en Renta en Res El Campanario,4500,7 rec.,1366 m²
1616348191-40,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Casa en Renta en El Campanario,65000,3 rec.,715 m²
1616348459-467,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-2.html,"Renta Casa Amueblada, El Refugio",22000,3 rec.,160 m²
1616348421-411,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-1.html,Real del Lago. Casa en Venta.,16000,3 rec.,200 m²
1616348298-198,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-10.html,Bonita Casa en Renta en Altos Juriquilla Querétaro,14500,3 rec.,179 m²
1616348388-348,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-3.html,Linda Casa de Lujo en Renta en Santa Fe Juriquilla Queretaro,26000,3 rec.,190 m²
1616348203-60,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,Casa - Fraccionamiento El Campanario,58000,4 rec.,600 m²
1616348338-256,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-7.html,Residencia de Lujo con Alberca en San Francisco Juriquilla,65000,4 rec.,847 m²
1616348298-187,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-10.html,Casa de Lujo en Renta en Cumbres del Lago Juriquilla con 4ta Recámara en Pb,35000,4 rec.,280 m²
1616348269-149,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,"Casa en Renta en Villas del Meson Juriquilla 4 Rec, y Cto de Servicio",32000,4 rec.,480 m²
1616348269-133,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,Linda Casa con Amplio Jardín / Juriquilla,37000,4 rec.,800 m²
1616348191-45,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Renta Casa El Campanario,100000,4 rec.,1367 m²
1616348421-405,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-1.html,"4 Recamaras, Sala de Tv, Jadin, 2 Terrazas, Sala, Comedor, Cocina, 4 Autos",37000,4 rec.,800 m²
1616348459-459,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-2.html,Venta o Renta Casa en El Refugio Torre de Piedra Kd,19200,4 rec.,144 m²
1616348445-440,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-3.html,"El Refugio, Casa en Renta Dentro de Privada. Fvr",13000,3 rec.,120 m²
1616348298-182,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-10.html,Casa Amueblada en Renta - Juriquilla,22000,3 rec.,170 m²
1616348388-351,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-3.html,Casa en Renta en Fraccionamiento Privado en Santa Fe Juriquilla Querétaro,14000,3 rec.,176 m²
1616348481-483,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-1.html,Renta Casa en Refugio,13500,3 rec.,176 m²
1616348246-117,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,Bonita Casa en Renta por Cumbres del Marqués!,8500,3 rec.,173 m²
1616348178-18,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-3.html,Casa Renta El Campanario,85000,4 rec.,1318 m²
1616348481-486,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-1.html,Oportunidad de Casa con Grandes Espacios en Renta,14010,3 rec.,150 m²
1616348178-8,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-3.html,Casa en Renta en El Campanario,65000,3 rec.,715 m²
1616348348-279,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-6.html,Casa en Renta en Cumbres del Lago - Juriquilla,18006,3 rec.,225 m²
1616348203-48,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,Casa Hermosa en El Campanario,65000,3 rec.,937 m²
1616348203-64,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,Casa en Renta en El Campanario,64000,4 rec.,688 m²
1616348445-453,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-3.html,Espectacular Casa Amueblada en Renta con 3 Rec en El Refugio Jf,19000,"3
					
						baños",180 m²
1616348348-280,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-6.html,"Casa en Renta, Fraccionamiento Alenas, Juriquilla, Qro.",19000,null,240 m²
1616348282-162,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-11.html,"Residencia Frente Al Lago en Juriquilla, Náutico, Roof Garden, Alberca, Jardín,.",30000,3 rec.,603 m²
1616348388-357,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-3.html,Hermosa Casa en Juriquilla Santa Fé. Condominio Residencial.,16000,3 rec.,160 m²
1616348326-238,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-8.html,Casa en Renta en Gran Juriquilla,15500,3 rec.,200 m²
1616348246-102,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,"Casa en Renta, El Mirador, Querétaro.",8500,"2
					
						baños",128 m²
1616348402-386,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-2.html,Casa en Renta Villas del Mesón Juriquilla,37000,4 rec.,800 m²
1616348388-352,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-3.html,Casa en Renta Villas del Mesón Juriquilla,37000,4 rec.,800 m²
1616348402-384,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-2.html,"Casa en Renta en La Arboleda 1, San Isidro Juriquilla, D216",10500,3 rec.,220 m²
1616348298-194,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-10.html,Casa en Renta en Grand Juriquilla Queretaro Rcr - Vs,14500,3 rec.,200 m²
1616348326-246,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-8.html,Rento Casa en Valle de Juriquilla,13000,3 rec.,128 m²
1616348282-176,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-11.html,Amplia Casa en Renta en Juriquilla,18000,3 rec.,473 m²
1616348388-361,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-3.html,Hermosa Casa en Renta Lomas de Juriquilla,25000,4 rec.,251 m²
1616348178-12,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-3.html,"Espectacular! Casa en Renta El Campanario, Queretaro",105000,3 rec.,825 m²
1616348361-314,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-5.html,Se Renta Linda Casa en Valle de Juriquilla,14000,3 rec.,120 m²
1616348269-139,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,Casa en Renta San Francisco Juriquilla,24000,3 rec.,450 m²
1616348459-468,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-2.html,Casa en Renta. El Refugio. Fvr,18500,3 rec.,191 m²
1616348326-237,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-8.html,"Casa en Renta en Cumbres del Lago Juriquilla, Querétaro.",28000,3 rec.,295 m²
1616348203-63,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,"Casa en Venta y Renta El Campanario, Querétaro",55000,3 rec.,1100 m²
1616348232-84,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,Casa Amueblada en El Mirador de 3 Dorm. y 158 M²! Atc,20000,3 rec.,178 m²
1616348348-290,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-6.html,Renta de Casa en Condesa Juriquilla con Roof Garden Hermosa y Espaciosa Casa,22000,3 rec.,200 m²
1616348269-145,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,"Casa en Renta en Juriquilla, D292",45000,4 rec.,548 m²
1616348191-26,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Casa en Renta El Campanario,56000,3 rec.,701 m²
1616348191-42,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Casa en Renta en Res El Campanario,85000,4 rec.,1200 m²
1616348232-78,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,Renta Casa Mirador,12000,2 rec.,150 m²
1616348258-130,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-q-milenio-iii-queretaro.html,Renta Departamento Penthouse Amueblado - Jacuzzi en Roof Garden + Alberca,18000,3 rec.,136 m²
1616348282-168,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-11.html,"Casa en Renta en Juriquilla, C541",35000,3 rec.,285 m²
1616348314-216,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-9.html,Casa en Renta en Juriquilla,15000,3 rec.,200 m²
1616348445-442,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-3.html,Casa en Renta. El Refugio. Fvr,13000,3 rec.,129 m²
1616348282-165,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-11.html,Casa en Renta,12000,2 rec.,201 m²
1616348445-437,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-residencial-el-refugio-pagina-3.html,Venta de Casa en El Refugio,15500,3 rec.,191 m²
1616348374-345,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-4.html,Renta. Departamento con Jardín en Planta Baja - Juriquilla,9500,2 rec.,89 m²
1616348269-141,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,Casa en Renta en Juriquilla - Biogrand -.,11200,2 rec.,160 m²
1616348282-175,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-11.html,Casa en Renta en Juriquilla Valle,14000,3 rec.,120 m²
1616348282-170,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-11.html,Preciosa Casa de Lujo Amueblada en Santa Fe Juriquilla,25000,3 rec.,160 m²
1616348178-14,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-3.html,Magnifica Casa en Renta El Campanario,90000,4 rec.,1255 m²
1616348314-210,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-9.html,San Isidro Juriquilla - Casa Equipada de 3 Recámaras. Venta,12000,3 rec.,111 m²
1616348269-153,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,"Casa en Renta, Jardines de Juriquilla",15500,3 rec.,180 m²
1616348326-241,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-8.html,Amueblada Casa de 3 Niveles en Altos de Juriquilla con 196 M²!,19000,3 rec.,170 m²
1616348232-77,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,"Casa Equipada, con Cómodos Espacios y Amenidades. El Mirador - Renta",11500,3 rec.,100 m²
1616348269-137,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-12.html,Casa Duplex en Renta Valle de Juriquilla Queretaro Rcr,13500,3 rec.,164 m²
1616348421-419,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-1.html,"Casa en Venta/renta - Cumbres del Lago, Juriquilla - C1551",35000,4 rec.,391 m²
1616348246-121,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,Casa en Renta en El Mirador Aqc,11566,2 rec.,134 m²
1616348402-376,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-2.html,"Preciosas Residencias Premium en Fracc. Altos Juriquilla, Querétaro",3159000,3 rec.,155 m²
1616348246-101,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,Casa en Renta en Mirador,12000,3 rec.,162 m²
1616348314-207,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-9.html,"Casa en Renta en Juriquilla, Querétaro.",55000,4 rec.,1000 m²
1616348246-123,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-1.html,Renta de Casa Equipada en Privada Muy Bien Ubicada - El Mirador,11500,3 rec.,100 m²
1616348203-55,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,Casa Renta El Campanario,85000,4 rec.,1318 m²
1616348203-47,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,Casa en Renta en Esquina El Campanario Querétaro,56000,4 rec.,610 m²
1616348258-129,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-q-milenio-iii-queretaro.html,Renta Departamento Milenio III Amenidades Lujo Piso 2,18000,3 rec.,190 m²
1616348374-346,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-4.html,Casa Amueblada en Juriquilla en Renta,22022,3 rec.,170 m²
1616348203-51,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-1.html,Casa - Fraccionamiento El Campanario,130000,5 rec.,2500 m²
1616348232-97,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,Venta de Casa en Excelente Precio y Ubicacion Dentro del Mirador,9000,3 rec.,86 m²
1616348178-3,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-3.html,Casa - Fraccionamiento El Campanario,4500,4 rec.,1366 m²
1616348388-356,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-3.html,Casa en Renta Santa Fe Juriquilla,11500,3 rec.,210 m²
1616348191-37,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Magnifica Casa en Renta El Campanario,90000,4 rec.,1255 m²
1616348314-213,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-9.html,Casa Tipo Loft en Renta en Valle de Juriquilla II,14000,1 rec.,152 m²
1616348191-28,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,Departamento Amueblado en Exclusivo Residencial,20500,1 rec.,40 m²
1616348338-271,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-7.html,"Casa en Venta en a Cumbres del Lago Juriquilla, Qro.",32000,4 rec.,325 m²
1616348298-203,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-10.html,Se Renta Hermosa Casa en Cumbres del Lago,18000,3 rec.,180 m²
1616348258-125,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-q-milenio-iii-queretaro.html,"Renta - Casa con Terraza, Milenio 3era Sección",18000,3 rec.,186 m²
1616348191-33,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,"Casa en Venta y Renta Lomas del Campanario I, Querétaro",30000,4 rec.,290 m²
1616348374-333,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-4.html,Casa en Renta en Santa Fe Juriquilla a Espaldas del Superama en Condominio Privado con Vigilancia,13000,3 rec.,160 m²
1616348361-301,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-juriquilla-pagina-5.html,Casa en Renta en Altavista Juriquilla,14000,3 rec.,149 m²
1616348232-98,https://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-renta-en-fraccionamiento-el-mirador-ciudad-de-queretaro-pagina-2.html,Casa en El Mirador con Amenidades - Renta,12000,3 rec.,100 m²
